Region,Month Year,Age,Sex,Homicide (Murder),Other Homicide,Attempted Murder,Conspiracy to Murder,Manslaughter (excl. by driving),Manslaughter Unlawful Striking Causing Death,Driving Causing Death,Assault,Grievous Assault,Serious Assault,Serious Assault (Other),Common Assault',Sexual Offences,Rape and Attempted Rape,Other Sexual Offences,Robbery,Armed Robbery,Unarmed Robbery,Other Offences Against the Person,Kidnapping & Abduction etc.,Extortion,Stalking,Life Endangering Acts,Voluntary Assisted Dying,Offences Against the Person,Unlawful Entry,Unlawful Entry With Intent - Dwelling,Unlawful Entry Without Violence - Dwelling,Unlawful Entry With Violence - Dwelling,Unlawful Entry With Intent - Shop,Unlawful Entry With Intent - Other,Arson,Other Property Damage,Unlawful Use of Motor Vehicle,Other Theft (excl. Unlawful Entry),Stealing from Dwellings,Shop Stealing,Vehicles (steal from/enter with intent),Other Stealing,Fraud,Fraud by Computer,Fraud by Cheque,Fraud by Credit Card,Identity Fraud,Other Fraud,Handling Stolen Goods,Possess Property Suspected Stolen,Receiving Stolen Property,Possess etc. Tainted Property,Other Handling Stolen Goods,Offences Against Property,Drug Offences,Trafficking Drugs,Possess Drugs,Produce Drugs,Sell Supply Drugs,Other Drug Offences,Prostitution Offences,Found in Places Used for Purpose of Prostitution Offences,Have Interest in Premises Used for Prostitution Offences,Knowingly Participate in Provision Prostitution Offences,Public Soliciting,Procuring Prostitution,Permit Minor to be at a Place Used for Prostitution Offences,Advertising Prostitution,Other Prostitution Offences,Liquor (excl. Drunkenness),Gaming Racing & Betting Offences,Breach Domestic Violence Protection Order,Trespassing and Vagrancy,Weapons Act Offences,Unlawful Possess Concealable Firearm,Unlawful Possess Firearm - Other,Bomb Possess and/or use of,Possess and/or use other weapons; restricted items,Weapons Act Offences - Other,Good Order Offences,Disobey Move-on Direction,Resist Incite Hinder Obstruct Police,Fare Evasion,Public Nuisance,Stock Related Offences,Traffic and Related Offences,Dangerous Operation of a Vehicle,Drink Driving,Disqualified Driving,Interfere with Mechanism of Motor Vehicle,Miscellaneous Offences,Other Offences,Total
Brisbane,Apr-01,Adult,Female,0,0,0,0,0,0,0,19,0,4,3,12,1,0,1,2,0,2,4,0,0,3,1,0,26,11,9,9,0,2,0,1,14,11,99,3,67,6,23,62,1,9,12,0,40,25,8,3,14,0,223,108,0,45,1,5,57,27,1,1,2,21,0,0,0,2,2,0,4,4,2,0,0,0,2,0,71,1,38,2,30,0,83,0,78,5,0,5,306,1633
Brisbane,Apr-01,Adult,Male,2,6,6,0,0,0,0,137,10,53,13,61,53,14,39,35,17,18,23,4,0,8,11,0,256,214,128,124,4,33,53,1,159,118,277,11,86,85,95,176,1,25,39,0,111,116,22,16,77,1,1061,507,3,230,7,28,239,5,0,0,0,5,0,0,0,0,6,1,49,24,51,4,8,3,22,14,267,5,121,12,129,0,446,23,349,74,0,24,1380,7835
Brisbane,Apr-01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Brisbane,Apr-01,Juvenile,Female,0,0,0,0,0,0,0,23,0,16,1,6,1,1,0,5,2,3,3,2,0,0,1,0,32,2,1,1,0,0,1,0,13,11,82,2,66,5,9,2,0,0,1,0,1,7,1,2,4,0,117,13,0,5,0,0,8,1,0,0,0,1,0,0,0,0,3,0,0,3,2,0,0,0,1,1,33,0,15,5,13,0,0,0,0,0,0,3,58,589
Brisbane,Apr-01,Juvenile,Male,0,1,1,0,0,0,0,38,2,18,4,14,2,0,2,12,6,6,9,6,0,2,1,0,62,46,21,21,0,8,17,0,155,76,149,5,88,23,33,20,0,2,9,0,9,25,8,6,10,1,471,91,0,39,2,8,42,0,0,0,0,0,0,0,0,0,2,0,1,11,11,0,0,0,10,1,55,1,23,11,20,0,12,6,6,0,0,20,203,1964
Brisbane,Apr-01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,May-01,Adult,Female,0,0,0,0,0,0,0,24,0,12,2,10,1,1,0,16,12,4,6,2,0,1,3,0,47,19,10,10,0,4,5,0,16,9,112,11,55,6,40,81,0,19,16,0,46,22,3,4,15,0,259,116,0,58,3,2,53,17,3,0,1,12,1,0,0,0,1,0,4,4,6,1,2,0,3,0,43,0,22,1,20,0,73,1,69,3,0,10,274,1706
Brisbane,May-01,Adult,Male,0,2,2,0,0,0,0,131,6,51,17,57,40,14,26,51,39,12,27,5,1,7,14,0,251,238,131,124,7,39,68,6,178,83,248,8,90,81,69,296,1,24,154,0,117,111,28,22,58,3,1160,484,3,242,19,20,200,15,0,0,2,12,1,0,0,0,4,0,48,34,64,5,9,0,35,15,277,7,122,8,140,0,385,28,291,66,0,40,1351,8024
Brisbane,May-01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,8,0,0,0,0,8,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
Brisbane,May-01,Juvenile,Female,0,0,0,0,0,0,0,7,0,6,0,1,1,1,0,0,0,0,4,2,0,0,2,0,12,6,4,4,0,0,2,0,18,9,98,1,84,5,8,3,0,0,1,0,2,7,2,0,5,0,141,24,0,9,0,3,12,1,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,18,0,6,7,5,0,1,0,1,0,0,5,55,590
Brisbane,May-01,Juvenile,Male,0,0,0,0,0,0,0,32,0,18,4,10,3,0,3,27,6,21,4,0,0,0,4,0,66,61,28,27,1,18,15,3,158,71,153,1,83,40,29,5,0,2,0,0,3,26,5,6,15,0,477,117,0,59,0,8,50,0,0,0,0,0,0,0,0,0,6,0,0,33,7,0,0,0,6,1,52,4,13,12,23,0,14,5,9,0,0,27,256,2127
Brisbane,May-01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Jun-01,Adult,Female,0,0,0,0,0,0,0,28,0,8,7,13,1,0,1,3,1,2,1,0,0,0,1,0,33,24,22,22,0,0,2,1,18,18,116,5,59,13,39,86,0,1,50,0,35,39,11,10,18,0,302,94,1,39,2,1,51,7,2,0,0,4,0,0,1,0,2,0,4,3,7,0,0,0,4,3,63,1,34,2,26,0,93,2,82,9,0,6,279,1812
Brisbane,Jun-01,Adult,Male,1,13,13,0,0,0,0,116,5,54,13,44,41,13,28,56,46,10,22,4,0,6,12,0,249,190,133,126,7,13,44,1,192,122,302,9,126,94,73,178,0,33,40,0,105,134,40,22,71,1,1119,408,4,183,10,11,200,20,0,2,3,15,0,0,0,0,8,0,57,44,64,2,5,2,44,11,245,5,109,4,127,0,411,18,337,56,0,38,1295,7659
Brisbane,Jun-01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Brisbane,Jun-01,Juvenile,Female,0,0,0,0,0,0,0,9,0,7,1,1,0,0,0,1,0,1,1,0,0,0,1,0,11,9,4,4,0,4,1,0,10,4,102,2,96,2,2,4,0,0,0,0,4,9,0,2,7,0,138,25,1,9,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,8,0,4,0,4,0,0,0,0,0,0,1,46,563
Brisbane,Jun-01,Juvenile,Male,0,0,0,0,0,0,0,18,1,6,5,6,3,0,3,8,2,6,6,0,1,0,5,0,35,88,64,63,1,7,17,1,123,56,128,1,80,20,27,4,0,0,1,0,3,18,10,3,5,0,418,85,0,46,0,4,35,0,0,0,0,0,0,0,0,0,5,0,0,26,8,0,1,1,5,1,44,1,14,11,18,0,8,1,7,0,0,21,197,1782
Brisbane,Jun-01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Jul-01,Adult,Female,0,1,1,0,0,0,0,27,0,10,6,11,0,0,0,5,4,1,5,1,0,2,2,0,38,8,7,6,1,1,0,1,19,23,91,4,63,11,13,84,0,3,31,0,50,33,9,3,19,2,259,80,1,39,2,7,31,18,9,0,2,4,0,0,1,2,0,0,2,1,7,1,0,0,4,2,50,0,27,1,22,0,62,2,56,4,0,7,227,1526
Brisbane,Jul-01,Adult,Male,3,6,4,0,0,0,2,126,5,55,16,50,36,11,25,33,25,8,31,9,0,6,16,0,235,198,113,105,8,37,48,5,184,86,259,9,98,78,74,195,0,23,61,0,111,107,28,24,51,4,1034,333,1,173,14,18,127,20,1,2,4,12,1,0,0,0,7,0,55,14,37,0,3,1,28,5,242,1,98,5,138,0,387,14,316,57,0,30,1125,6911
Brisbane,Jul-01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Jul-01,Juvenile,Female,0,0,0,0,0,0,0,11,1,5,1,4,0,0,0,1,1,0,1,0,0,0,1,0,13,2,1,1,0,0,1,1,22,7,135,1,129,1,4,3,0,1,0,0,2,9,3,5,1,0,179,18,0,8,2,0,8,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,17,0,9,3,5,0,3,1,2,0,0,5,47,680
Brisbane,Jul-01,Juvenile,Male,0,1,1,0,0,0,0,35,1,13,4,17,4,0,4,9,7,2,4,0,0,0,4,0,53,74,31,29,2,15,28,0,126,52,207,9,116,48,34,7,1,0,2,0,4,25,8,6,11,0,491,63,0,35,1,3,24,0,0,0,0,0,0,0,0,0,5,0,0,20,15,0,1,0,14,0,39,0,8,14,17,0,12,4,7,1,0,16,170,1954
Brisbane,Jul-01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Aug-01,Adult,Female,0,0,0,0,0,0,0,10,0,3,1,6,2,0,2,1,0,1,1,0,0,0,1,0,14,10,9,9,0,0,1,1,21,20,125,1,87,10,27,217,0,10,112,0,95,42,11,9,22,0,436,95,1,42,3,4,45,26,5,0,2,15,0,0,1,3,1,0,1,2,0,0,0,0,0,0,47,1,23,1,22,0,89,2,82,5,0,7,268,2110
Brisbane,Aug-01,Adult,Male,5,3,3,0,0,0,0,125,8,65,5,47,41,12,29,23,13,10,28,6,1,7,14,0,225,174,109,105,4,30,35,1,168,101,264,17,107,70,70,280,1,31,31,0,217,115,25,15,75,0,1103,390,4,177,21,25,163,32,1,1,2,28,0,0,0,0,4,1,52,24,69,4,13,0,39,13,285,3,132,4,146,0,423,15,355,53,0,30,1310,7637
Brisbane,Aug-01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Aug-01,Juvenile,Female,0,0,0,0,0,0,0,12,0,5,1,6,0,0,0,2,2,0,1,0,0,0,1,0,15,5,2,2,0,0,3,0,39,28,127,3,104,11,9,1,0,0,0,0,1,3,0,1,2,0,203,14,0,7,0,1,6,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,1,0,12,0,7,1,4,0,1,0,1,0,0,2,36,689
Brisbane,Aug-01,Juvenile,Male,0,0,0,0,0,0,0,25,1,15,1,8,6,0,6,12,0,12,7,0,0,1,6,0,50,74,20,20,0,18,36,0,121,32,175,0,105,29,41,10,0,0,1,0,9,24,11,5,8,0,436,61,0,27,0,2,32,0,0,0,0,0,0,0,0,0,7,0,0,27,13,1,0,0,10,2,55,4,18,10,23,0,6,3,3,0,0,19,188,1836
Brisbane,Aug-01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Sep-01,Adult,Female,1,0,0,0,0,0,0,19,1,5,2,11,6,0,6,4,2,2,2,0,0,1,1,0,32,35,31,29,2,2,2,0,16,11,129,7,77,14,31,106,0,6,40,0,60,45,16,8,21,0,342,97,1,37,5,4,50,23,9,2,3,7,2,0,0,0,2,0,5,2,4,0,0,1,3,0,52,1,28,2,21,0,74,3,66,5,0,8,267,1909
Brisbane,Sep-01,Adult,Male,1,6,6,0,0,0,0,138,7,69,16,46,32,7,25,18,8,10,28,5,0,8,15,0,223,161,107,101,6,13,41,3,151,80,252,12,95,79,66,155,1,24,31,0,99,103,26,17,60,0,905,305,1,155,18,12,119,31,2,6,6,15,1,0,0,1,7,0,61,18,44,0,8,0,24,12,267,2,123,4,138,0,336,12,283,40,1,26,1095,6429
Brisbane,Sep-01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisbane,Sep-01,Juvenile,Female,0,0,0,0,0,0,0,14,0,2,2,10,0,0,0,1,0,1,0,0,0,0,0,0,15,9,0,0,0,4,5,0,24,20,98,3,82,3,10,3,0,0,1,0,2,17,5,3,9,0,171,17,0,8,0,0,9,1,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,25,0,7,6,12,0,3,0,2,0,1,1,52,664
Brisbane,Sep-01,Juvenile,Male,0,0,0,0,0,0,0,19,0,10,3,6,1,0,1,8,1,7,3,0,0,1,2,0,31,59,23,19,4,9,27,5,110,43,168,4,105,33,26,20,3,0,0,0,17,11,4,4,3,0,416,61,0,33,1,3,24,0,0,0,0,0,0,0,0,0,11,0,0,11,7,0,1,0,2,4,48,0,18,8,22,0,11,4,7,0,0,13,162,1657
Brisbane,Sep-01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Brisbane,Oct-01,Adult,Female,0,0,0,0,0,0,0,31,1,8,6,16,0,0,0,4,3,1,3,0,0,1,2,0,38,19,12,10,2,1,6,0,18,6,139,4,66,4,65,96,0,9,37,0,50,29,4,4,21,0,307,118,0,55,4,2,57,39,11,4,6,15,1,0,2,0,3,0,2,5,8,0,0,0,6,2,70,4,29,3,34,0,63,0,58,5,0,9,317,1955
Brisbane,Oct-01,Adult,Male,1,3,2,0,1,0,0,144,7,70,15,52,29,9,20,38,25,13,38,7,1,12,18,0,253,252,142,132,10,59,51,4,212,100,384,21,77,151,135,313,0,36,65,0,212,137,23,36,78,0,1402,518,3,254,13,20,228,45,6,3,4,28,1,0,2,1,7,0,84,23,57,4,6,0,34,13,310,2,142,8,158,0,446,18,341,87,0,33,1523,9212
Brisbane,Oct-01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Brisbane,Oct-01,Juvenile,Female,0,1,0,0,0,0,1,17,0,7,3,7,1,0,1,2,0,2,0,0,0,0,0,0,21,11,4,4,0,4,3,0,25,10,119,2,75,5,37,7,4,0,1,0,2,11,4,2,5,0,183,16,0,10,0,0,6,1,0,0,0,1,0,0,0,0,3,0,0,5,0,0,0,0,0,0,25,0,13,0,12,0,0,0,0,0,0,3,53,729
Brisbane,Oct-01,Juvenile,Male,0,0,0,0,0,0,0,29,2,15,3,9,8,1,7,7,1,6,13,2,0,1,10,0,57,76,17,17,0,33,26,0,110,63,151,5,70,49,27,22,1,1,16,0,4,25,6,9,10,0,447,74,0,34,1,3,36,0,0,0,0,0,0,0,0,0,5,0,0,20,18,0,2,0,11,5,72,0,26,6,40,0,22,10,11,1,0,15,226,1994
