Collection year,Semester,Region,Year Level,Indigenous status,SDA type,Reason description,SDA count
2016,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,3
2016,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,3
2016,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,1
2016,Semester 1,Far North Queensland,Year 2,Non-Indigenous,Long Suspension,Persistently disruptive behaviour adversely affecting others,2
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,15
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,2
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,4
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,10
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,7
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,52
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,5
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Property Misconduct involving other's property,3
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Refusal to participate in the program of instruction,2
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,5
2016,Semester 1,Far North Queensland,Year 3,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,1
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,5
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,4
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,5
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,4
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,4
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,25
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,5
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Property Misconduct involving own property,1
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,1
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,5
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,7
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,2
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Long Suspension,Persistently disruptive behaviour adversely affecting others,1
2016,Semester 1,Far North Queensland,Year 3,Non-Indigenous,Long Suspension,Physical Misconduct involving Students not involving an object,1
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Absences,2
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,32
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,6
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,5
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,10
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,7
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,40
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,6
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Property Misconduct involving other's property,1
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Refusal to participate in the program of instruction,7
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,23
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,3
2016,Semester 1,Far North Queensland,Year 4,Indigenous,Long Suspension,Physical Misconduct involving Adults not involving an object,1
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,6
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,7
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,2
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,3
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,3
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,25
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,4
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Property Misconduct involving own property,1
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,3
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,1
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Substance Misconduct involving other legal substances,1
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,13
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,3
2016,Semester 1,Far North Queensland,Year 4,Non-Indigenous,Long Suspension,Physical Misconduct involving Adults involving an object,1
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,16
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,9
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,5
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,8
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,4
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,50
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,10
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Property Misconduct involving other's property,9
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Refusal to participate in the program of instruction,11
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,17
2016,Semester 1,Far North Queensland,Year 5,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,3
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,7
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,3
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,2
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,7
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,2
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,30
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,3
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Property Misconduct involving own property,1
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,3
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,2
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,8
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Long Suspension,Other Serious conduct prejudicial to the good order and management of the school,2
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Long Suspension,Substance Misconduct involving an illicit substance,1
2016,Semester 1,Far North Queensland,Year 5,Non-Indigenous,Exclusion,Other Serious conduct prejudicial to the good order and management of the school,1
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Absences,2
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,17
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,6
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,17
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,5
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,8
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,63
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,11
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Property Misconduct involving other's property,9
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Refusal to participate in the program of instruction,13
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Substance Misconduct involving tobacco,9
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,20
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,19
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Long Suspension,Persistently disruptive behaviour adversely affecting others,1
2016,Semester 1,Far North Queensland,Year 6,Indigenous,Long Suspension,Substance Misconduct involving an illicit substance,1
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,6
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,3
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,6
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,3
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,2
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,31
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,1
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,2
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,1
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Substance Misconduct involving an illicit substance,1
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,6
2016,Semester 1,Far North Queensland,Year 6,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,3
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Absences,5
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,23
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,11
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,8
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,4
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,3
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,70
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,11
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Property Misconduct involving other's property,14
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Refusal to participate in the program of instruction,18
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Substance Misconduct involving tobacco,2
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,29
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,9
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Long Suspension,Physical Misconduct involving Adults not involving an object,1
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Long Suspension,Physical Misconduct involving Students not involving an object,1
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Long Suspension,Property Misconduct involving other's property,1
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Exclusion,Other Serious conduct prejudicial to the good order and management of the school,1
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Exclusion,Physical Misconduct involving Adults not involving an object,1
2016,Semester 1,Far North Queensland,Year 7,Indigenous,Exclusion,Physical Misconduct involving Adults involving an object,1
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,11
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,13
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,2
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,3
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,6
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,40
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,6
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,6
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,14
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Substance Misconduct involving other legal substances,1
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Substance Misconduct involving an illicit substance,3
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,28
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,11
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Long Suspension,Other conduct prejudicial to the good order and management of the school,1
2016,Semester 1,Far North Queensland,Year 7,Non-Indigenous,Long Suspension,Substance Misconduct involving an illicit substance,1
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Absences,13
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,39
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,30
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,15
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,12
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,5
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,72
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,13
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Property Misconduct involving own property,2
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Property Misconduct involving other's property,25
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Refusal to participate in the program of instruction,29
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Substance Misconduct involving tobacco,2
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Substance Misconduct involving an illicit substance,2
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,87
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,16
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Other Serious conduct prejudicial to the good order and management of the school,3
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Physical Misconduct involving Adults not involving an object,1
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Physical Misconduct involving Students not involving an object,4
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Physical Misconduct involving Students involving an object,1
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Substance Misconduct involving an illicit substance,2
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Long Suspension,Verbal or Non Verbal Misconduct involving Adults,1
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Exclusion,Other Serious conduct prejudicial to the good order and management of the school,2
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Exclusion,Physical Misconduct involving Students involving an object,1
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Exclusion,Property Misconduct involving other's property,1
2016,Semester 1,Far North Queensland,Year 8,Indigenous,Exclusion,Substance Misconduct involving an illicit substance,1
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Absences,1
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,22
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,8
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,5
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,4
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,45
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,4
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Property Misconduct involving own property,1
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Property Misconduct involving other's property,1
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Refusal to participate in the program of instruction,6
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Substance Misconduct involving tobacco,2
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Substance Misconduct involving other legal substances,1
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Substance Misconduct involving an illicit substance,1
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,46
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,6
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Long Suspension,Other Serious conduct prejudicial to the good order and management of the school,3
2016,Semester 1,Far North Queensland,Year 8,Non-Indigenous,Exclusion,Physical Misconduct involving Students not involving an object,1
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Absences,4
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Persistently disruptive behaviour adversely affecting others,24
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Other conduct prejudicial to the good order and management of the school,12
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Other Serious conduct prejudicial to the good order and management of the school,7
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Physical Misconduct involving Adults not involving an object,3
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Physical Misconduct involving Adults involving an object,3
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Physical Misconduct involving Students not involving an object,41
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Physical Misconduct involving Students involving an object,4
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Property Misconduct involving own property,1
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Property Misconduct involving other's property,9
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Refusal to participate in the program of instruction,13
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Substance Misconduct involving tobacco,1
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Substance Misconduct involving other legal substances,3
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Substance Misconduct involving an illicit substance,1
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Adults,48
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Short Suspension,Verbal or Non Verbal Misconduct involving Students,2
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Long Suspension,Persistently disruptive behaviour adversely affecting others,2
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Long Suspension,Physical Misconduct involving Adults not involving an object,1
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Long Suspension,Physical Misconduct involving Students not involving an object,1
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Long Suspension,Substance Misconduct involving an illicit substance,1
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Exclusion,Other Serious conduct prejudicial to the good order and management of the school,1
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Exclusion,Physical Misconduct involving Adults not involving an object,1
2016,Semester 1,Far North Queensland,Year 9,Indigenous,Exclusion,Physical Misconduct involving Students not involving an object,2
